gene;chromosome;start;end;log2;cn;depth;p_bintest;weight;probes;coords
MGP_FVBNJ_G0009299;chr1;34453712;38372645;-0.489482;1;15.8698;0.683971;1.90481;2;1:34453712-38372645
MGP_FVBNJ_G0009541;chr2;5327362;5691369;-0.250351;2;25.2627;0.0258463;1.99117;2;2:5327362-5691369
MGP_FVBNJ_G0036421;chr2;80841864;82503211;-0.569305;2;15.3956;0.945798;1.91406;2;2:80841864-82503211
MGP_FVBNJ_G0037498;chr2;80841864;82503211;-0.569305;2;15.3956;0.945798;1.91406;2;2:80841864-82503211
MGP_FVBNJ_G0037585;chr3;91493356;91612652;-0.42228;1;14.0637;0.636889;1.92614;2;3:91493356-91612652
MGP_FVBNJ_G0037586;chr3;91493356;91612652;-0.42228;1;14.0637;0.636889;1.92614;2;3:91493356-91612652
MGP_FVBNJ_G0036454;chr5;240639;514804;-0.215946;2;17.8206;0.801956;1.98727;2;5:240639-514804
MGP_FVBNJ_G0039200;chr8;42138609;71499714;-0.349997;2;15.4307;0.997663;1.92341;2;8:42138609-71499714
MGP_FVBNJ_G0039201;chr8;42138609;71499714;-0.349997;2;15.4307;0.997663;1.92341;2;8:42138609-71499714
MGP_FVBNJ_G0015557;chr8;42138609;71499714;-0.349997;2;15.4307;0.997663;1.92341;2;8:42138609-71499714
MGP_FVBNJ_G0009784;chr8;108854527;109096606;0.271551;3;35.7175;0.882351;1.98033;2;8:108854527-109096606
MGP_FVBNJ_G0009098;chr9;9959692;17251091;-0.28985;2;20.5511;0.517706;1.96366;2;9:9959692-17251091
MGP_FVBNJ_G0037133;chr12;48739495;51016894;-0.3457;2;15.6493;0.76146;1.93804;2;2:48739495-51016894
MGP_FVBNJ_G0037134;chr12;48739495;51016894;-0.3457;2;15.6493;0.76146;1.93804;2;2:48739495-51016894
MGP_FVBNJ_G0005420;chr13;59713861;62436437;-0.549159;2;12.7335;0.929321;1.68498;2;3:59713861-62436437
MGP_FVBNJ_G0037222;chr14;43032649;43272103;-0.267553;1;18.7594;0.0231706;1.98512;2;4:43032649-43272103
MGP_FVBNJ_G0009428;chr14;46264042;47097705;-0.372341;2;15.7605;0.899821;1.90521;2;4:46264042-47097705
MGP_FVBNJ_G0005650;chr17;23622171;32201771;-0.557061;1;15.6277;0.78052;1.83832;2;7:23622171-32201771
MGP_FVBNJ_G0024097;chr18;34222042;34874653;-0.216624;1;17.8145;0.847206;1.97823;2;8:34222042-34874653
MGP_FVBNJ_G0036401;chr18;34738505;36714196;-0.252027;2;16.6342;0.990162;1.96618;2;8:34738505-36714196
MGP_FVBNJ_G0004900;chr1;120760038;121112295;-0.2029;2;20.0654;0.55953;5.93234;6;1:120760038-121112295
MGP_FVBNJ_G0016337;chr1;129713506;130046350;0.785165;4;42.3301;0.756574;1.96009;3;1:129713506-130046350
MGP_FVBNJ_G0026056;chr2;107367031;107409922;0.485785;3;28.3674;0.741808;2.35;3;2:107367031-107409922
MGP_FVBNJ_G0011706;chr2;107558854;107707099;0.211152;4;24.7627;0.93338;3.35816;4;2:107558854-107707099
MGP_FVBNJ_G0036178;chr16;17378073;17448173;0.243184;3;35.4662;0.921165;2.80761;3;6:17378073-17448173
MGP_FVBNJ_G0039433;chr17;52109032;52291695;-0.207509;1;27.5734;0.853141;5.7504;6;7:52109032-52291695
